input_geo,indicator_name,value,indicator_subgroup,indicator_group,year,source_name,indicator_topic,indicator_subtopic,geo_name,geo_code,geo_iso,geo_parent,geo_level
Oman,feed-in tariff/ premium payment,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Oman,512.0,OM,145.0,5.0
Palau,feed-in tariff/ premium payment,0,HIGH INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Palau,585.0,PW,57.0,5.0
Panama,feed-in tariff/ premium payment,0,HIGH INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Panama,591.0,PA,13.0,5.0
Poland,feed-in tariff/ premium payment,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Poland,616.0,PL,151.0,5.0
Portugal,feed-in tariff/ premium payment,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Portugal,620.0,PT,39.0,5.0
Qatar,feed-in tariff/ premium payment,0,HIGH INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Qatar,634.0,QA,145.0,5.0
San Marino,feed-in tariff/ premium payment,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,San Marino,674.0,SM,39.0,5.0
Saudi Arabia,feed-in tariff/ premium payment,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Saudi Arabia,682.0,SA,145.0,5.0
Seychelles,feed-in tariff/ premium payment,0,HIGH INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Seychelles,690.0,SC,14.0,5.0
Singapore,feed-in tariff/ premium payment,0,HIGH INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Singapore,702.0,SG,35.0,5.0
Slovenia,feed-in tariff/ premium payment,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Slovenia,705.0,SI,39.0,5.0
Spain,feed-in tariff/ premium payment,1,HIGH INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Spain,724.0,ES,39.0,5.0
St. Kitts and Nevis,feed-in tariff/ premium payment,1,HIGH INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Saint Kitts and Nevis,659.0,KN,29.0,5.0
Sweden,feed-in tariff/ premium payment,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Sweden,752.0,SE,154.0,5.0
Switzerland,feed-in tariff/ premium payment,1,HIGH INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Switzerland,756.0,CH,155.0,5.0
Trinidad and Tobago,feed-in tariff/ premium payment,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Trinidad and Tobago,780.0,TT,29.0,5.0
United Arab Emirates,feed-in tariff/ premium payment,0,HIGH INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,United Arab Emirates,784.0,AE,145.0,5.0
United Kingdom,feed-in tariff/ premium payment,1,HIGH INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,United Kingdom,826.0,GB,154.0,5.0
United States,feed-in tariff/ premium payment,1,HIGH INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,United States of America,840.0,US,21.0,5.0
Uruguay,feed-in tariff/ premium payment,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Uruguay,858.0,UY,5.0,5.0
Albania,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Albania,8.0,AL,39.0,5.0
Algeria,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Algeria,12.0,DZ,15.0,5.0
Armenia,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Armenia,51.0,AM,145.0,5.0
Azerbaijan,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Azerbaijan,31.0,AZ,145.0,5.0
Belarus,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Belarus,112.0,BY,151.0,5.0
Belize,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Belize,84.0,BZ,13.0,5.0
Bosnia and Herzegovina,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Bosnia and Herzegovina,70.0,BA,39.0,5.0
Botswana,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Botswana,72.0,BW,18.0,5.0
Brazil,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Brazil,76.0,BR,5.0,5.0
Bulgaria,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Bulgaria,100.0,BG,151.0,5.0
China,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,China,156.0,CN,30.0,5.0
Colombia,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Colombia,170.0,CO,5.0,5.0
Costa Rica,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Costa Rica,188.0,CR,13.0,5.0
Cuba,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Cuba,192.0,CU,29.0,5.0
Dominica,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Dominica,212.0,DM,29.0,5.0
Dominican Republic,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Dominican Republic,214.0,DO,29.0,5.0
Ecuador,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Ecuador,218.0,EC,5.0,5.0
Equatorial Guinea,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Equatorial Guinea,226.0,GQ,17.0,5.0
Fiji,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Fiji,242.0,FJ,54.0,5.0
Gabon,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Gabon,266.0,GA,17.0,5.0
Grenada,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Grenada,308.0,GD,29.0,5.0
Guatemala,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Guatemala,320.0,GT,13.0,5.0
Guyana,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Guyana,328.0,GY,5.0,5.0
Iran,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Iran,364.0,IR,34.0,5.0
Iraq,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Iraq,368.0,IQ,145.0,5.0
Jamaica,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Jamaica,388.0,JM,29.0,5.0
Jordan,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Jordan,400.0,JO,145.0,5.0
Kazakhstan,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Kazakhstan,398.0,KZ,143.0,5.0
Lebanon,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Lebanon,422.0,LB,145.0,5.0
Libya,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Libya,434.0,LY,15.0,5.0
North Macedonia,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,North Macedonia,807.0,MK,39.0,5.0
Malaysia,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Malaysia,458.0,MY,35.0,5.0
Maldives,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Maldives,462.0,MV,34.0,5.0
Marshall Islands,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Marshall Islands,584.0,MH,57.0,5.0
Mauritius,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Mauritius,480.0,MU,14.0,5.0
Mexico,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Mexico,484.0,MX,13.0,5.0
Montenegro,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Montenegro,499.0,ME,39.0,5.0
Namibia,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Namibia,516.0,NA,18.0,5.0
Nauru,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Nauru,520.0,NR,57.0,5.0
Paraguay,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Paraguay,600.0,PY,5.0,5.0
Peru,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Peru,604.0,PE,5.0,5.0
Romania,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Romania,642.0,RO,151.0,5.0
Russian Federation,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Russian Federation,643.0,RU,151.0,5.0
Samoa,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Samoa,882.0,WS,61.0,5.0
Serbia,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Serbia,688.0,RS,39.0,5.0
South Africa,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,South Africa,710.0,ZA,18.0,5.0
St. Lucia,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Saint Lucia,662.0,LC,29.0,5.0
St. Vincent and the Grenadines,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Saint Vincent and the Grenadines,670.0,VC,29.0,5.0
Suriname,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Suriname,740.0,SR,5.0,5.0
Thailand,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Thailand,764.0,TH,35.0,5.0
Tonga,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Tonga,776.0,TO,61.0,5.0
Turkey,feed-in tariff/ premium payment,1,UPPER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Turkey,792.0,TR,145.0,5.0
Turkmenistan,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Turkmenistan,795.0,TM,143.0,5.0
Tuvalu,feed-in tariff/ premium payment,0,UPPER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Tuvalu,798.0,TV,61.0,5.0
Angola,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Angola,24.0,AO,17.0,5.0
Bangladesh,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Bangladesh,50.0,BD,34.0,5.0
Bhutan,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Bhutan,64.0,BT,34.0,5.0
Bolivia,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Bolivia,68.0,BO,5.0,5.0
Cape Verde,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Cabo Verde,132.0,CV,11.0,5.0
Cambodia,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Cambodia,116.0,KH,35.0,5.0
Cameroon,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Cameroon,120.0,CM,17.0,5.0
"Congo, Republic of",feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Democratic Republic of the Congo,180.0,CD,17.0,5.0
Cote d'Ivoire,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Côte d’Ivoire,384.0,CI,11.0,5.0
Djibouti,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Djibouti,262.0,DJ,14.0,5.0
Egypt,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Egypt,818.0,EG,15.0,5.0
El Salvador,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,El Salvador,222.0,SV,13.0,5.0
Eswatini ,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Eswatini,748.0,SZ,18.0,5.0
Georgia,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Georgia,268.0,GE,145.0,5.0
Ghana,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Ghana,288.0,GH,11.0,5.0
Honduras,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Removed (for policies) / expired (for targets),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Honduras,340.0,HN,13.0,5.0
India,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,India,356.0,IN,34.0,5.0
Indonesia,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Indonesia,360.0,ID,35.0,5.0
Kenya,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Kenya,404.0,KE,14.0,5.0
Kiribati,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Kiribati,296.0,KI,57.0,5.0
Kyrgyzstan,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Kyrgyzstan,417.0,KG,143.0,5.0
Lesotho,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Lesotho,426.0,LS,18.0,5.0
Mauritania,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Mauritania,478.0,MR,11.0,5.0
Moldova,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Moldova,498.0,MD,151.0,5.0
Mongolia,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Mongolia,496.0,MN,30.0,5.0
Morocco,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Morocco,504.0,MA,15.0,5.0
Myanmar,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Myanmar,104.0,MM,35.0,5.0
Nicaragua,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Nicaragua,558.0,NI,13.0,5.0
Nigeria,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Nigeria,566.0,NG,11.0,5.0
Pakistan,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Pakistan,586.0,PK,34.0,5.0
"Palestine, State of",feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,State of Palestine,275.0,PS,145.0,5.0
Papua New Guinea,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Papua New Guinea,598.0,PG,54.0,5.0
Philippines,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Philippines,608.0,PH,35.0,5.0
São Tomé and Príncipe,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Sao Tome and Principe,678.0,ST,17.0,5.0
Solomon Islands,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Solomon Islands,90.0,SB,54.0,5.0
Sri Lanka,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Sri Lanka,144.0,LK,34.0,5.0
Sudan,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Sudan,729.0,SD,15.0,5.0
Timor-Leste,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Timor-Leste,626.0,TL,35.0,5.0
Tunisia,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Tunisia,788.0,TN,15.0,5.0
Ukraine,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Ukraine,804.0,UA,151.0,5.0
Uzbekistan,feed-in tariff/ premium payment,0,LOWER-MIDDLE INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Uzbekistan,860.0,UZ,143.0,5.0
Vanuatu,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Vanuatu,548.0,VU,54.0,5.0
Vietnam,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Vietnam,704.0,VN,35.0,5.0
Zambia,feed-in tariff/ premium payment,1,LOWER-MIDDLE INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Zambia,894.0,ZM,14.0,5.0
Afghanistan,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Afghanistan,4.0,AF,34.0,5.0
Benin,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Benin,204.0,BJ,11.0,5.0
Burkina Faso,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Burkina Faso,854.0,BF,11.0,5.0
Burundi,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Burundi,108.0,BI,14.0,5.0
Central African Republic,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Central African Republic,140.0,CF,17.0,5.0
Chad,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Chad,148.0,TD,17.0,5.0
Comoros,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Comoros,174.0,KM,14.0,5.0
Democratic Republic of Congo,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Democratic Republic of the Congo,180.0,CD,17.0,5.0
Eritrea,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Eritrea,232.0,ER,14.0,5.0
Ethiopia,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Ethiopia,231.0,ET,14.0,5.0
Gambia,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Gambia,270.0,GM,11.0,5.0
Guinea,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Guinea,324.0,GN,11.0,5.0
Guinea-Bissau,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Guinea-Bissau,624.0,GW,11.0,5.0
Haiti,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Haiti,332.0,HT,29.0,5.0
"Korea, Democratic People's Republic",feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Lao People's Democratic Republic,418.0,LA,35.0,5.0
Liberia,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Liberia,430.0,LR,11.0,5.0
Madagascar,feed-in tariff/ premium payment,1,LOW INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Madagascar,450.0,MG,14.0,5.0
Malawi,feed-in tariff/ premium payment,1,LOW INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Malawi,454.0,MW,14.0,5.0
Mali,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Mali,466.0,ML,11.0,5.0
Mozambique,feed-in tariff/ premium payment,1,LOW INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Mozambique,508.0,MZ,14.0,5.0
Nepal,feed-in tariff/ premium payment,1,LOW INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Nepal,524.0,NP,34.0,5.0
Niger,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Niger,562.0,NE,11.0,5.0
Rwanda,feed-in tariff/ premium payment,1,LOW INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Rwanda,646.0,RW,14.0,5.0
Senegal,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Senegal,686.0,SN,11.0,5.0
Sierra Leone,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Sierra Leone,694.0,SL,11.0,5.0
Somalia,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Somalia,706.0,SO,14.0,5.0
South Sudan,feed-in tariff/ premium payment,0,LOW INCOME,No Data,2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,South Sudan,728.0,SS,14.0,5.0
